Date / Time,Temperature [C],DissolvedOxygen [mg/l],Turbidity [NTU],pH [Units],OxidationReductionPotential [mV ],SpecificConductivity [µs/cm]
10/12/2014 9:29,13.73,8.66,54.2,8.02,528,100
10/12/2014 9:32,13.74,8.65,56,8.02,529,101
10/12/2014 9:35,13.74,8.66,52,8.01,529,101
10/12/2014 9:38,13.74,8.7,48.2,8.01,530,101
10/12/2014 9:41,13.7,8.73,48.1,7.99,531,98
10/12/2014 9:44,13.66,8.79,45.3,8.02,529,92
10/12/2014 9:47,13.59,8.87,41.1,8.04,527,84
10/12/2014 9:50,13.51,8.91,39.6,8.05,526,78
10/12/2014 9:53,13.45,8.95,41.2,8.07,526,75
10/12/2014 9:56,13.41,8.97,45.2,8.07,522,73
10/12/2014 9:59,13.38,8.98,53.6,8.08,517,69
10/12/2014 10:02,13.33,9.06,64.3,8.04,513,68
10/12/2014 10:05,13.3,9.04,73.2,8.03,511,67
10/12/2014 10:08,13.26,9.06,78.3,8.05,508,64
10/12/2014 10:11,13.23,9.06,79.5,8.03,508,63
10/12/2014 10:14,13.22,9.05,83.7,8.04,506,63
10/12/2014 10:17,13.21,9.04,85.8,8.04,506,65
10/12/2014 10:20,13.21,9.05,84.4,8.04,506,67
10/12/2014 10:23,13.22,9.01,86.9,8.05,506,69
10/12/2014 10:26,13.24,8.98,95,8.02,508,72
10/12/2014 10:29,13.28,8.98,102,8.03,508,74
10/12/2014 10:32,13.29,8.94,106.4,8.04,508,75
10/12/2014 10:35,13.31,8.96,107.6,8.04,509,74
10/12/2014 10:38,13.35,8.95,100.4,8.02,510,77
10/12/2014 10:41,13.38,8.92,96.6,8.03,509,80
10/12/2014 10:44,13.41,8.89,93.4,8.01,510,83
10/12/2014 10:47,13.43,8.84,88.5,8.01,510,86
10/12/2014 10:50,13.44,8.69,85.3,8.03,510,89
10/12/2014 10:53,13.47,8.66,79.3,8,512,91
10/12/2014 10:56,13.48,8.64,73.6,8,513,94
10/12/2014 10:59,13.51,8.65,70.1,8,514,97
10/12/2014 11:02,13.54,8.63,68.2,7.99,515,100
10/12/2014 11:05,13.55,8.59,65,7.98,515,102
10/12/2014 11:08,13.58,8.59,63.1,7.98,516,106
10/12/2014 11:11,13.63,8.59,59.4,7.97,517,111
10/12/2014 11:14,13.66,8.59,55.9,7.96,517,115
10/12/2014 11:17,13.7,8.55,51.9,7.96,518,118
10/12/2014 11:20,13.73,8.49,52,7.96,518,122
10/12/2014 11:23,13.76,8.48,51.3,7.95,519,125
10/12/2014 11:26,13.79,8.49,49.4,7.95,519,128
10/12/2014 11:29,13.81,8.49,49.6,7.96,520,130
10/12/2014 11:32,13.82,8.49,47.5,7.96,520,134
